Result,B365H,B365D,B365A
H,2.1,3.4,3.5
H,9.0,4.75,1.36
A,7.0,4.5,1.44
A,6.0,4.2,1.53
D,1.5,4.2,6.5
H,1.91,3.5,4.0
H,2.1,3.4,3.5
H,1.22,6.5,13.0
A,1.25,6.0,12.0
D,2.0,3.6,3.6
D,2.3,3.3,3.2
H,2.1,3.4,3.5
D,2.2,3.3,3.4
H,1.91,3.6,4.0
H,1.67,3.75,5.5
H,4.0,3.6,1.91
A,1.44,4.33,7.5
D,1.3,5.0,11.0
A,12.0,6.5,1.22
A,1.91,3.5,4.0
H,1.83,3.5,4.5
A,3.8,3.4,2.0
D,4.33,3.6,1.83
D,2.0,3.5,3.75
D,1.53,4.0,6.5
D,2.1,3.4,3.5
H,2.8,3.4,2.5
H,1.4,4.5,8.5
H,1.36,5.0,8.0
H,2.1,3.5,3.4
A,1.62,4.0,5.5
D,2.75,3.25,2.6
A,4.0,3.6,1.91
A,1.5,4.33,6.5
D,1.22,6.5,12.0
D,4.2,3.75,1.83
D,2.0,3.5,3.75
H,1.83,3.6,4.33
H,1.17,7.0,17.0
A,5.0,4.0,1.67
H,1.83,3.75,4.2
D,5.0,3.75,1.7
A,2.4,3.5,2.88
H,2.1,3.5,3.4
H,1.3,5.5,10.0
H,2.2,3.5,3.2
H,1.13,9.0,19.0
H,2.2,3.4,3.25
D,2.38,3.5,2.88
A,7.0,4.5,1.44
H,3.4,3.5,2.1
H,1.4,4.5,8.5
A,5.0,4.0,1.67
H,1.57,4.0,6.0
H,1.53,4.5,6.5
A,11.0,5.5,1.33
A,1.25,6.5,15.0
A,1.83,3.6,5.0
H,1.7,3.8,5.75
D,1.62,4.0,6.5
D,6.0,4.2,1.62
H,2.4,3.3,3.3
H,1.3,5.75,12.0
A,5.5,4.0,1.7
A,2.0,3.6,4.0
A,2.63,3.2,3.0
H,1.73,3.8,5.5
H,1.36,5.25,9.5
H,1.75,3.8,5.25
H,4.5,3.8,1.85
A,11.0,5.0,1.36
H,2.5,3.25,3.2
A,2.1,3.6,3.75
D,1.33,5.75,10.0
A,11.0,6.0,1.3
A,1.95,3.5,4.33
D,3.9,3.4,2.1
H,1.33,5.5,11.0
H,2.3,3.4,3.4
D,1.91,3.4,4.0
H,1.45,4.5,8.5
H,2.15,3.7,3.5
D,1.25,6.5,15.0
D,2.4,3.1,3.5
H,1.36,5.5,9.0
H,2.7,3.1,3.0
